character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Classic Warsong Gulch played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Classic Warsong Gulch won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Classic Arathi Basin win_rate,Classic Arathi Basin played,Classic Arathi Basin won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Comp Stomp win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Comp Stomp played,Rated Eye of the Storm won,Ashran won,Arathi Basin Comp Stomp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Arathi Basin Winter win_rate,Southshore vs. Tarren Mill played,Arathi Basin Winter played,Southshore vs. Tarren Mill won,Arathi Basin Winter won
154538607,Angeloladin,blackrock,137.0,2624.0,67.0,67.0,50.0,83.0,86.0,67.0,33.0,43.0,88.0,100.0,100.0,20.0,6.0,3.0,2.0,6.0,7.0,6.0,12.0,7.0,8.0,1.0,3.0,5.0,4.0,2.0,1.0,5.0,6.0,4.0,4.0,3.0,7.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153375291,Loabalboa,malganis,19.0,4459.0,42.0,25.0,50.0,75.0,58.0,20.0,89.0,25.0,50.0,25.0,50.0,100.0,12.0,4.0,6.0,4.0,12.0,5.0,9.0,8.0,4.0,8.0,6.0,1.0,5.0,1.0,3.0,3.0,7.0,1.0,8.0,2.0,2.0,2.0,3.0,1.0,33.0,100.0,100.0,3.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
150451053,Koyjin,kazzak,104.0,57121.0,55.0,61.0,43.0,78.0,67.0,58.0,69.0,,,,,,87.0,114.0,72.0,45.0,9.0,31.0,13.0,,,,,,48.0,69.0,31.0,35.0,6.0,18.0,9.0,,,,,,49.0,53.0,53.0,449.0,109.0,15.0,219.0,58.0,8.0,49.0,170.0,83.0,,,,,,,,,,,,,,,,,,
101228281,Reava,alleria,76.0,11264.0,58.0,62.0,70.0,65.0,76.0,52.0,53.0,39.0,43.0,20.0,60.0,50.0,31.0,26.0,20.0,34.0,33.0,27.0,32.0,18.0,21.0,10.0,5.0,6.0,18.0,16.0,14.0,22.0,25.0,14.0,17.0,7.0,9.0,2.0,3.0,3.0,40.0,68.0,62.0,10.0,19.0,8.0,4.0,13.0,5.0,80.0,15.0,12.0,75.0,33.0,100.0,4.0,3.0,2.0,3.0,1.0,2.0,,,,,,,,,
194396987,Crael,hyjal,22.0,412.0,,,,100.0,100.0,50.0,100.0,100.0,,50.0,50.0,0.0,,,,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,0.0,0.0,,1.0,1.0,,0.0,0.0,,,,,,,,,,
126430141,Manodin,blackrock,31.0,3153.0,43.0,100.0,48.0,50.0,100.0,25.0,64.0,,100.0,,,,7.0,2.0,23.0,6.0,5.0,4.0,11.0,,1.0,,,,3.0,2.0,11.0,3.0,5.0,1.0,7.0,,1.0,,,,67.0,100.0,80.0,3.0,2.0,5.0,2.0,2.0,4.0,50.0,2.0,1.0,,,100.0,,,1.0,,,1.0,,,,,,,,,
69296778,Wtsfood,stormscale,12.0,17680.0,43.0,55.0,64.0,43.0,,88.0,100.0,,,,25.0,,134.0,85.0,39.0,7.0,,8.0,2.0,,,,4.0,,58.0,47.0,25.0,3.0,,7.0,2.0,,,,1.0,,62.0,46.0,0.0,97.0,83.0,1.0,60.0,38.0,0.0,52.0,77.0,40.0,,100.0,,,2.0,,,2.0,,,,,,,,,,
136021324,Sekentor,blackrock,106.0,66865.0,56.0,62.0,57.0,60.0,53.0,63.0,43.0,100.0,100.0,25.0,60.0,0.0,86.0,99.0,68.0,43.0,30.0,46.0,42.0,3.0,5.0,4.0,5.0,1.0,48.0,61.0,39.0,26.0,16.0,29.0,18.0,3.0,5.0,1.0,3.0,0.0,64.0,50.0,48.0,261.0,108.0,27.0,167.0,54.0,13.0,65.0,208.0,135.0,,100.0,100.0,,2.0,3.0,,2.0,3.0,,,,,,,,,
198291286,Бариарт,soulflayer,33.0,3107.0,50.0,75.0,33.0,50.0,67.0,70.0,40.0,83.0,100.0,50.0,100.0,43.0,2.0,4.0,3.0,4.0,3.0,10.0,5.0,6.0,3.0,6.0,1.0,7.0,1.0,3.0,1.0,2.0,2.0,7.0,2.0,5.0,3.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120545949,Recksiipala,blackrock,8.0,309.0,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106800348,Iliriel,archimonde,7.0,2700.0,57.0,40.0,50.0,0.0,100.0,50.0,33.0,,,,,,7.0,5.0,2.0,1.0,1.0,2.0,3.0,,,,,,4.0,2.0,1.0,0.0,1.0,1.0,1.0,,,,,,67.0,0.0,,6.0,1.0,,4.0,0.0,,40.0,5.0,2.0,,,,,,,,,,,,,,,,,,
89592022,Kisassi,sargeras,49.0,4025.0,0.0,53.0,,50.0,,100.0,50.0,0.0,0.0,,100.0,,1.0,19.0,,4.0,,2.0,2.0,2.0,1.0,,1.0,,0.0,10.0,,2.0,,2.0,1.0,0.0,0.0,,1.0,,52.0,80.0,,21.0,10.0,,11.0,8.0,,57.0,14.0,8.0,,,,,,,,,,,,,,,,,,
33356986,Лаунч,howling-fjord,22.0,20308.0,72.0,68.0,53.0,60.0,67.0,75.0,33.0,100.0,57.0,0.0,,100.0,39.0,62.0,32.0,20.0,3.0,8.0,6.0,1.0,7.0,2.0,,2.0,28.0,42.0,17.0,12.0,2.0,6.0,2.0,1.0,4.0,0.0,,2.0,72.0,69.0,33.0,78.0,64.0,3.0,56.0,44.0,1.0,61.0,71.0,43.0,,0.0,,,1.0,,,0.0,,,,,,,,,,
93597379,Hallowed,aggra-português,43.0,395.0,,,,50.0,,,100.0,0.0,,,,0.0,,,,2.0,,,1.0,2.0,,,,1.0,,,,1.0,,,1.0,0.0,,,,0.0,0.0,,,1.0,,,0.0,,,,,,100.0,,,1.0,,,1.0,,,0.0,1.0,0.0,,,,,,
110447787,Ayyah,stormscale,4.0,466.0,,,,100.0,100.0,,,,50.0,100.0,,,,,,1.0,1.0,,,,2.0,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,,0.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
237817005,Светодуня,borean-tundra,17.0,5647.0,25.0,53.0,25.0,40.0,,40.0,,,,,,0.0,8.0,17.0,4.0,5.0,,5.0,,,,,,1.0,2.0,9.0,1.0,2.0,,2.0,,,,,,0.0,38.0,44.0,,24.0,16.0,,9.0,7.0,,57.0,14.0,8.0,,,,,,,,,,,,,,,,,,
115694018,Colîa,eredar,16.0,31078.0,59.0,58.0,69.0,72.0,80.0,66.0,62.0,50.0,89.0,67.0,,,46.0,69.0,49.0,96.0,54.0,112.0,56.0,2.0,9.0,3.0,,,27.0,40.0,34.0,69.0,43.0,74.0,35.0,1.0,8.0,2.0,,,59.0,63.0,44.0,125.0,71.0,18.0,74.0,45.0,8.0,71.0,133.0,95.0,,,100.0,,,4.0,,,4.0,,,,,,,,,
157662037,Капсиз,soulflayer,33.0,1865.0,0.0,0.0,0.0,33.0,50.0,67.0,60.0,,0.0,,,,1.0,1.0,4.0,6.0,2.0,6.0,5.0,,1.0,,,,0.0,0.0,0.0,2.0,1.0,4.0,3.0,,0.0,,,,0.0,100.0,38.0,4.0,2.0,8.0,0.0,2.0,3.0,43.0,7.0,3.0,100.0,,,1.0,,,1.0,,,,,,,,,,,
95478832,Rottensnot,twisting-nether,47.0,12112.0,75.0,40.0,25.0,83.0,100.0,38.0,20.0,,50.0,,,0.0,8.0,15.0,4.0,6.0,1.0,8.0,5.0,,2.0,,,1.0,6.0,6.0,1.0,5.0,1.0,3.0,1.0,,1.0,,,0.0,39.0,38.0,,59.0,21.0,,23.0,8.0,,58.0,31.0,18.0,,,,,,,,,,,,,,,,,,
147280595,Negativedmg,kazzak,179.0,67969.0,82.0,62.0,36.0,91.0,86.0,91.0,75.0,133.0,50.0,100.0,46.0,100.0,11.0,8.0,14.0,11.0,7.0,11.0,12.0,3.0,2.0,1.0,13.0,3.0,9.0,5.0,5.0,10.0,6.0,10.0,9.0,4.0,1.0,1.0,6.0,3.0,80.0,60.0,100.0,10.0,10.0,4.0,8.0,6.0,4.0,57.0,7.0,4.0,,67.0,,,3.0,,,2.0,,,,,,,,,,
148873609,Illusionone,blackrock,82.0,7895.0,33.0,0.0,0.0,75.0,67.0,67.0,90.0,67.0,100.0,100.0,100.0,,3.0,2.0,1.0,4.0,6.0,3.0,10.0,3.0,1.0,1.0,2.0,,1.0,0.0,0.0,3.0,4.0,2.0,9.0,2.0,1.0,1.0,2.0,,50.0,,,4.0,,,2.0,,,33.0,3.0,1.0,,,100.0,,,53.0,,,53.0,100.0,1.0,1.0,,,,,,
197735899,Ashgriel,silvermoon,109.0,30322.0,59.0,64.0,61.0,58.0,61.0,75.0,65.0,74.0,74.0,64.0,46.0,64.0,34.0,86.0,28.0,59.0,71.0,52.0,69.0,65.0,113.0,66.0,28.0,33.0,20.0,55.0,17.0,34.0,43.0,39.0,45.0,48.0,84.0,42.0,13.0,21.0,0.0,,56.0,1.0,,50.0,0.0,,28.0,,,,45.0,64.0,100.0,11.0,11.0,11.0,5.0,7.0,11.0,100.0,1.0,1.0,100.0,84.0,1.0,19.0,1.0,16.0
164846369,Klexe,blackrock,12.0,4952.0,75.0,60.0,33.0,50.0,50.0,67.0,73.0,60.0,44.0,50.0,50.0,31.0,8.0,5.0,3.0,8.0,6.0,3.0,11.0,5.0,9.0,8.0,6.0,13.0,6.0,3.0,1.0,4.0,3.0,2.0,8.0,3.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,0.0,57.0,,1.0,14.0,,0.0,8.0,,83.0,6.0,5.0,,,,,,
64660414,Hordala,blackrock,52.0,45892.0,58.0,80.0,56.0,79.0,85.0,82.0,73.0,100.0,83.0,55.0,,,88.0,81.0,103.0,90.0,62.0,72.0,64.0,8.0,12.0,11.0,,,51.0,65.0,58.0,71.0,53.0,59.0,47.0,8.0,10.0,6.0,,,68.0,68.0,84.0,221.0,85.0,19.0,151.0,58.0,16.0,82.0,90.0,74.0,,,100.0,,,36.0,,,36.0,25.0,4.0,1.0,,,,,,
102761668,Celedith,blackhand,15.0,949.0,100.0,100.0,,67.0,33.0,100.0,33.0,,,,,,1.0,1.0,,3.0,3.0,2.0,3.0,,,,,,1.0,1.0,,2.0,1.0,2.0,1.0,,,,,,100.0,100.0,100.0,4.0,2.0,3.0,4.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
171439082,Grippingcnt,kazzak,54.0,1134.0,100.0,0.0,,67.0,33.0,100.0,100.0,80.0,33.0,50.0,,100.0,1.0,1.0,,6.0,3.0,9.0,4.0,5.0,6.0,6.0,,1.0,1.0,0.0,,4.0,1.0,9.0,4.0,4.0,2.0,3.0,,1.0,100.0,,0.0,1.0,,1.0,1.0,,0.0,50.0,2.0,1.0,100.0,,,2.0,,,2.0,,,,,,,,,,,
164846211,Holyrayén,blackrock,6.0,103.0,,,,,,100.0,0.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154220855,Eliasér,zuljin,51.0,53942.0,53.0,54.0,45.0,57.0,61.0,58.0,42.0,57.0,100.0,67.0,75.0,50.0,68.0,122.0,38.0,106.0,49.0,91.0,43.0,7.0,2.0,3.0,4.0,4.0,36.0,66.0,17.0,60.0,30.0,53.0,18.0,4.0,2.0,2.0,3.0,2.0,64.0,57.0,39.0,223.0,136.0,28.0,143.0,77.0,11.0,59.0,176.0,103.0,7000.0,100.0,,1.0,1.0,,70.0,1.0,,60.0,5.0,3.0,,,,,,
169471389,Lílium,tarren-mill,13.0,20502.0,55.0,38.0,60.0,50.0,90.0,65.0,67.0,,0.0,67.0,100.0,67.0,99.0,56.0,45.0,20.0,10.0,17.0,6.0,,1.0,3.0,2.0,3.0,54.0,21.0,27.0,10.0,9.0,11.0,4.0,,0.0,2.0,2.0,2.0,51.0,50.0,44.0,98.0,58.0,9.0,50.0,29.0,4.0,58.0,59.0,34.0,,100.0,,,1.0,,,1.0,,,,,,,,,,
191894188,Panzarjohnny,kazzak,44.0,787.0,0.0,,40.0,33.0,100.0,,100.0,,40.0,0.0,,0.0,1.0,,5.0,3.0,1.0,,3.0,,5.0,1.0,,1.0,0.0,,2.0,1.0,1.0,,3.0,,2.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144139938,Lynchburg,twisting-nether,93.0,114051.0,66.0,58.0,72.0,50.0,42.0,49.0,79.0,0.0,33.0,,,0.0,196.0,88.0,161.0,101.0,12.0,43.0,14.0,1.0,3.0,,,2.0,129.0,51.0,116.0,51.0,5.0,21.0,11.0,0.0,1.0,,,0.0,57.0,47.0,100.0,190.0,155.0,1.0,108.0,73.0,1.0,56.0,184.0,103.0,,,,,,,,,,,,,,,,,,
135036777,Seikwa,blackrock,153.0,2474.0,100.0,0.0,67.0,60.0,40.0,44.0,47.0,133.0,,,33.0,0.0,2.0,4.0,3.0,5.0,5.0,9.0,17.0,3.0,,,3.0,1.0,2.0,0.0,2.0,3.0,2.0,4.0,8.0,4.0,,,1.0,0.0,60.0,25.0,100.0,5.0,4.0,2.0,3.0,1.0,2.0,50.0,4.0,2.0,,,100.0,,,1.0,,,1.0,,,,,,,,,
143574030,Crossbone,blackrock,29.0,423.0,0.0,,0.0,,0.0,0.0,0.0,50.0,,0.0,0.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,0.0,,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,100.0,,,4.0,,,4.0,,,,,,,,,
153765540,Йосяфлексер,howling-fjord,120.0,4664.0,,67.0,100.0,39.0,50.0,90.0,57.0,77.0,60.0,67.0,,75.0,,9.0,1.0,18.0,16.0,10.0,14.0,13.0,5.0,9.0,,4.0,,6.0,1.0,7.0,8.0,9.0,8.0,10.0,3.0,6.0,,3.0,75.0,,55.0,4.0,,11.0,3.0,,6.0,100.0,1.0,1.0,71.0,,,7.0,,,5.0,,,100.0,1.0,1.0,,,,,,
156908535,Gabil,burning-legion,15.0,2117.0,100.0,,50.0,50.0,50.0,,40.0,100.0,100.0,100.0,,,2.0,,4.0,2.0,2.0,,5.0,1.0,2.0,1.0,,,2.0,,2.0,1.0,1.0,,2.0,1.0,2.0,1.0,,,,,0.0,,,1.0,,,0.0,,,,,67.0,,,3.0,,,2.0,,,,,,,,,,
157171057,Vicker,stormscale,13.0,123.0,,,0.0,,0.0,100.0,,,,100.0,,100.0,,,1.0,,2.0,1.0,,,,1.0,,1.0,,,0.0,,0.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,100.0,,,1.0,,,1.0,,,,,,,,,,,
73785417,Schutzinator,eredar,20.0,4518.0,33.0,11.0,56.0,41.0,100.0,29.0,50.0,,,,,,21.0,18.0,18.0,17.0,1.0,17.0,2.0,,,,,,7.0,2.0,10.0,7.0,1.0,5.0,1.0,,,,,,13.0,43.0,,15.0,23.0,,2.0,10.0,,44.0,25.0,11.0,,,,,,,,,,,,,,,,,,
169910781,Kyarrala,tarren-mill,4.0,277.0,,100.0,,100.0,100.0,,100.0,100.0,0.0,,,0.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175249539,Skyddsängel,ragnaros,6.0,468.0,,,,,,100.0,,50.0,100.0,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168959257,Bultsax,tarren-mill,3.0,249.0,,,,,0.0,,,,,50.0,,,,,,,1.0,,,,,2.0,,,,,,,0.0,,,,,1.0,,,0.0,,50.0,1.0,,2.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,
176474438,Vìzzer,burning-legion,55.0,2516.0,0.0,33.0,,43.0,33.0,50.0,55.0,100.0,78.0,57.0,,62.0,1.0,9.0,,7.0,9.0,10.0,11.0,5.0,9.0,14.0,,8.0,0.0,3.0,,3.0,3.0,5.0,6.0,5.0,7.0,8.0,,5.0,100.0,,60.0,2.0,,5.0,2.0,,3.0,100.0,1.0,1.0,,100.0,,,1.0,,,1.0,,,,,,,,,,
148078900,Арахнея,howling-fjord,56.0,289.0,,,0.0,,,,,100.0,0.0,,100.0,,,,1.0,,,,,1.0,1.0,,1.0,,,,0.0,,,,,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109856731,Avizura,blackrock,48.0,852.0,,50.0,100.0,50.0,83.0,50.0,0.0,0.0,67.0,50.0,0.0,75.0,,2.0,1.0,2.0,6.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,,1.0,1.0,1.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
158487277,Crazywings,blackhand,14.0,1206.0,100.0,100.0,,50.0,100.0,75.0,100.0,100.0,50.0,50.0,100.0,50.0,1.0,3.0,,4.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,50.0,,,2.0,,,1.0,,,,,,,100.0,,1.0,,1.0
108809209,Trynias,eredar,28.0,3040.0,100.0,33.0,57.0,100.0,67.0,60.0,100.0,45.0,0.0,25.0,33.0,0.0,2.0,3.0,7.0,1.0,3.0,5.0,5.0,11.0,1.0,4.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,5.0,5.0,0.0,1.0,1.0,0.0,100.0,,86.0,4.0,,7.0,4.0,,6.0,50.0,2.0,1.0,,,100.0,,,1.0,,,1.0,,,,,,,,,
164676101,Algrunas,kazzak,16.0,1342.0,50.0,33.0,67.0,100.0,0.0,,33.0,,,,,100.0,2.0,3.0,3.0,2.0,2.0,,3.0,,,,,2.0,1.0,1.0,2.0,2.0,0.0,,1.0,,,,,2.0,67.0,,50.0,3.0,,2.0,2.0,,1.0,100.0,1.0,1.0,,,100.0,,,1.0,,,1.0,,,,,,,,,
123873111,Zôeý,frostwolf,31.0,15883.0,41.0,59.0,63.0,74.0,80.0,57.0,52.0,50.0,50.0,83.0,50.0,67.0,22.0,29.0,19.0,39.0,20.0,40.0,23.0,14.0,4.0,6.0,2.0,9.0,9.0,17.0,12.0,29.0,16.0,23.0,12.0,7.0,2.0,5.0,1.0,6.0,55.0,59.0,50.0,29.0,39.0,4.0,16.0,23.0,2.0,56.0,34.0,19.0,86.0,100.0,,7.0,1.0,,6.0,1.0,,,,,,,,,,
89907460,Nimsy,blackhand,45.0,22814.0,33.0,47.0,29.0,45.0,45.0,53.0,57.0,71.0,64.0,65.0,100.0,50.0,12.0,62.0,7.0,77.0,100.0,100.0,127.0,34.0,25.0,26.0,1.0,26.0,4.0,29.0,2.0,35.0,45.0,53.0,72.0,24.0,16.0,17.0,1.0,13.0,52.0,53.0,38.0,107.0,15.0,26.0,56.0,8.0,10.0,61.0,66.0,40.0,500.0,,100.0,1.0,,5.0,5.0,,5.0,,,,,40.0,,5.0,,2.0
161696787,Vasniia,burning-legion,201.0,8984.0,59.0,54.0,83.0,76.0,59.0,64.0,56.0,46.0,54.0,46.0,38.0,25.0,17.0,13.0,12.0,17.0,27.0,22.0,25.0,24.0,24.0,26.0,8.0,20.0,10.0,7.0,10.0,13.0,16.0,14.0,14.0,11.0,13.0,12.0,3.0,5.0,,,,,,,,,,,,,46.0,50.0,100.0,13.0,2.0,1.0,6.0,1.0,1.0,100.0,1.0,1.0,,50.0,,4.0,,2.0
