character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
64791081,Ревирант,gordunni,57.0,7346.0,50.0,45.0,100.0,38.0,71.0,0.0,50.0,29.0,56.0,72.0,33.0,100.0,38.0,50.0,59.0,86.0,0.0,100.0,33.0,2.0,22.0,1.0,13.0,7.0,1.0,14.0,31.0,16.0,18.0,3.0,1.0,8.0,8.0,17.0,7.0,2.0,5.0,6.0,1.0,10.0,1.0,5.0,5.0,0.0,7.0,9.0,9.0,13.0,1.0,1.0,3.0,4.0,10.0,6.0,0.0,5.0,2.0,,,,,,,,,,,,
163525967,Bughydin,draenor,25.0,6728.0,33.0,38.0,67.0,65.0,,36.0,54.0,71.0,70.0,75.0,50.0,100.0,100.0,65.0,42.0,73.0,100.0,100.0,,3.0,8.0,6.0,17.0,,11.0,13.0,14.0,10.0,16.0,4.0,2.0,2.0,17.0,12.0,15.0,5.0,15.0,,1.0,3.0,4.0,11.0,,4.0,7.0,10.0,7.0,12.0,2.0,2.0,2.0,11.0,5.0,11.0,5.0,15.0,,,,,,,,,,,,,
195763496,Gammeldin,chamber-of-aspects,7.0,2393.0,50.0,,,100.0,,33.0,33.0,100.0,67.0,60.0,,100.0,0.0,67.0,33.0,50.0,67.0,100.0,,2.0,,,3.0,,3.0,3.0,5.0,3.0,5.0,,3.0,1.0,3.0,3.0,2.0,3.0,1.0,,1.0,,,3.0,,1.0,1.0,5.0,2.0,3.0,,3.0,0.0,2.0,1.0,1.0,2.0,1.0,,67.0,0.0,3.0,1.0,2.0,0.0,,,,,,
142937633,Caesar,rexxar,93.0,1375.0,0.0,17.0,100.0,,0.0,0.0,57.0,67.0,71.0,78.0,50.0,,,,,,,,,1.0,6.0,3.0,,1.0,1.0,7.0,6.0,7.0,9.0,4.0,,,,,,,,,0.0,1.0,3.0,,0.0,0.0,4.0,4.0,5.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,
154621329,Lychguard,chamber-of-aspects,51.0,2379.0,,60.0,75.0,,100.0,,60.0,36.0,75.0,46.0,40.0,,,,0.0,50.0,,,0.0,,10.0,8.0,,2.0,,15.0,14.0,8.0,13.0,5.0,,,,1.0,2.0,,,1.0,,6.0,6.0,,2.0,,9.0,5.0,6.0,6.0,2.0,,,,0.0,1.0,,,0.0,,,,,,,,,,,,
172362562,Clarimónd,twisting-nether,19.0,391.0,,,,,,,100.0,67.0,,50.0,,,,,67.0,0.0,,,50.0,,,,,,,1.0,3.0,,2.0,,,,,3.0,1.0,,,2.0,,,,,,,1.0,2.0,,1.0,,,,,2.0,0.0,,,1.0,33.0,,3.0,,1.0,,,,,,,
197580854,Ørjän,silvermoon,12.0,3584.0,100.0,,,33.0,,50.0,67.0,50.0,75.0,67.0,,100.0,,36.0,55.0,75.0,75.0,,54.0,1.0,,,3.0,,4.0,15.0,4.0,4.0,12.0,,1.0,,11.0,11.0,8.0,4.0,,13.0,1.0,,,1.0,,2.0,10.0,2.0,3.0,8.0,,1.0,,4.0,6.0,6.0,3.0,,7.0,100.0,,2.0,,2.0,,,,,,,
197456256,Keirri,chamber-of-aspects,25.0,1520.0,33.0,100.0,100.0,100.0,67.0,33.0,67.0,100.0,67.0,60.0,50.0,,,,0.0,,,,,6.0,3.0,1.0,1.0,3.0,12.0,6.0,2.0,6.0,5.0,2.0,,,,1.0,,,,,2.0,3.0,1.0,1.0,2.0,4.0,4.0,2.0,4.0,3.0,1.0,,,,0.0,,,,,,,,,,,,,,,,
62894345,Róman,aggramar,34.0,4961.0,58.0,60.0,56.0,20.0,0.0,50.0,67.0,50.0,100.0,33.0,0.0,57.0,,67.0,100.0,75.0,33.0,100.0,25.0,31.0,15.0,9.0,10.0,3.0,14.0,3.0,2.0,2.0,6.0,2.0,7.0,,3.0,2.0,4.0,6.0,2.0,4.0,18.0,9.0,5.0,2.0,0.0,7.0,2.0,1.0,2.0,2.0,0.0,4.0,,2.0,2.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,
195743973,Tianná,chamber-of-aspects,17.0,6776.0,59.0,54.0,25.0,36.0,50.0,44.0,50.0,61.0,63.0,63.0,52.0,50.0,,200.0,,,0.0,,100.0,22.0,13.0,8.0,14.0,6.0,16.0,16.0,18.0,19.0,35.0,33.0,2.0,,1.0,,,1.0,,1.0,13.0,7.0,2.0,5.0,3.0,7.0,8.0,11.0,12.0,22.0,17.0,1.0,,2.0,,,0.0,,1.0,,,,,,,,,,,,
158032400,Lightbaker,arathor,14.0,5333.0,60.0,36.0,36.0,50.0,73.0,64.0,47.0,53.0,75.0,47.0,30.0,,,120.0,50.0,50.0,,,67.0,15.0,14.0,14.0,20.0,11.0,14.0,17.0,19.0,8.0,15.0,10.0,,,5.0,2.0,2.0,,,3.0,9.0,5.0,5.0,10.0,8.0,9.0,8.0,10.0,6.0,7.0,3.0,,,6.0,1.0,1.0,,,2.0,,,,,,,,,,,,
164265765,Bigbadbeef,chamber-of-aspects,23.0,342.0,100.0,,,,,50.0,,50.0,,,,0.0,,,,,100.0,,,2.0,,,,,2.0,,2.0,,,,1.0,,,,,1.0,,,2.0,,,,,1.0,,1.0,,,,0.0,,,,,1.0,,,,,,,,,,,,,,
166402155,Madoff,chamber-of-aspects,25.0,17008.0,74.0,100.0,,67.0,,69.0,79.0,60.0,93.0,50.0,75.0,57.0,,56.0,53.0,81.0,64.0,,58.0,34.0,1.0,,12.0,,42.0,24.0,15.0,15.0,16.0,4.0,7.0,,18.0,15.0,16.0,39.0,,12.0,25.0,1.0,,8.0,,29.0,19.0,9.0,14.0,8.0,3.0,4.0,,10.0,8.0,13.0,25.0,,7.0,,100.0,,1.0,,1.0,,,,,,
159938432,Emobubbles,tarren-mill,20.0,1586.0,,,,,,,33.0,40.0,86.0,50.0,,,,75.0,55.0,40.0,,,50.0,,,,,,,12.0,5.0,7.0,8.0,,,,4.0,11.0,5.0,,,6.0,,,,,,,4.0,2.0,6.0,4.0,,,,3.0,6.0,2.0,,,3.0,67.0,,6.0,,4.0,,,,,,,
194008745,Laghertha,chamber-of-aspects,53.0,327.0,,,,,,0.0,,100.0,,100.0,,,,,,,,,100.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,0.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
192830702,Steez,chamber-of-aspects,13.0,7832.0,31.0,47.0,52.0,30.0,55.0,31.0,32.0,50.0,50.0,60.0,33.0,50.0,,,100.0,0.0,33.0,,50.0,39.0,15.0,25.0,23.0,86.0,13.0,22.0,6.0,14.0,5.0,6.0,2.0,,,1.0,1.0,3.0,,2.0,12.0,7.0,13.0,7.0,47.0,4.0,7.0,3.0,7.0,3.0,2.0,1.0,,,1.0,0.0,1.0,,1.0,500.0,,1.0,,5.0,,,,,,,
187527906,Гростер,gordunni,235.0,2193.0,50.0,,,100.0,,0.0,38.0,40.0,25.0,67.0,0.0,50.0,,50.0,75.0,50.0,50.0,,50.0,2.0,,,3.0,,1.0,8.0,5.0,4.0,6.0,1.0,2.0,,4.0,4.0,4.0,2.0,,2.0,1.0,,,3.0,,0.0,3.0,2.0,1.0,4.0,0.0,1.0,,2.0,3.0,2.0,1.0,,1.0,,,,,,,,,,,,
117244225,Ethakor,ysondre,7.0,5235.0,62.0,48.0,53.0,52.0,83.0,20.0,38.0,,62.0,,,,,,,,,,,13.0,29.0,19.0,29.0,6.0,10.0,8.0,,8.0,,,,,,,,,,,8.0,14.0,10.0,15.0,5.0,2.0,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
