character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Rated Eye of the Storm win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Rated Eye of the Storm played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Rated Eye of the Storm won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Ashran win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Ashran played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Ashran won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won
150451053,Koyjin,kazzak,104.0,57121.0,55.0,49.0,49.0,61.0,53.0,43.0,78.0,67.0,58.0,69.0,53.0,87.0,449.0,170.0,114.0,109.0,72.0,45.0,9.0,31.0,13.0,15.0,48.0,219.0,83.0,69.0,58.0,31.0,35.0,6.0,18.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171439082,Grippingcnt,kazzak,54.0,1134.0,100.0,100.0,50.0,0.0,,,67.0,33.0,100.0,100.0,0.0,1.0,1.0,2.0,1.0,,,6.0,3.0,9.0,4.0,1.0,1.0,1.0,1.0,0.0,,,4.0,1.0,9.0,4.0,0.0,100.0,80.0,33.0,50.0,100.0,2.0,5.0,6.0,6.0,1.0,2.0,4.0,2.0,3.0,1.0,,,,,,,,,,,,,,,
169910781,Kyarrala,tarren-mill,4.0,277.0,,,,100.0,,,100.0,100.0,,100.0,,,,,1.0,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,,100.0,0.0,,0.0,,1.0,1.0,,1.0,,1.0,0.0,,0.0,,,,,,,,,,,,,,,
163632883,Aitas,tarren-mill,162.0,100346.0,51.0,62.0,60.0,60.0,55.0,45.0,65.0,66.0,62.0,65.0,58.0,210.0,247.0,290.0,235.0,222.0,225.0,265.0,181.0,257.0,186.0,84.0,108.0,154.0,173.0,140.0,123.0,102.0,171.0,120.0,159.0,121.0,49.0,,500.0,100.0,60.0,0.0,,8.0,3.0,5.0,1.0,,40.0,3.0,3.0,0.0,100.0,100.0,100.0,0.0,2.0,4.0,36.0,5.0,2.0,4.0,36.0,0.0,,,
33356986,Лаунч,howling-fjord,22.0,20308.0,72.0,72.0,61.0,68.0,69.0,53.0,60.0,67.0,75.0,33.0,33.0,39.0,78.0,71.0,62.0,64.0,32.0,20.0,3.0,8.0,6.0,3.0,28.0,56.0,43.0,42.0,44.0,17.0,12.0,2.0,6.0,2.0,1.0,,100.0,57.0,0.0,100.0,,1.0,7.0,2.0,2.0,,1.0,4.0,0.0,2.0,0.0,,,,1.0,,,,0.0,,,,,,
167094488,Bolderbast,tarren-mill,14.0,3157.0,0.0,,,50.0,,75.0,67.0,62.0,57.0,67.0,,2.0,,,2.0,,4.0,9.0,8.0,7.0,15.0,,0.0,,,1.0,,3.0,6.0,5.0,4.0,10.0,,50.0,40.0,55.0,25.0,40.0,10.0,10.0,11.0,8.0,15.0,5.0,4.0,6.0,2.0,6.0,,100.0,,,,1.0,,,,1.0,,,,,
154538607,Angeloladin,blackrock,137.0,2624.0,67.0,,,67.0,,50.0,83.0,86.0,67.0,33.0,,6.0,,,3.0,,2.0,6.0,7.0,6.0,12.0,,4.0,,,2.0,,1.0,5.0,6.0,4.0,4.0,,,43.0,88.0,100.0,20.0,,7.0,8.0,1.0,5.0,,3.0,7.0,1.0,1.0,,100.0,,,,3.0,,,,3.0,,,,,
191894188,Panzarjohnny,kazzak,44.0,787.0,0.0,,,,,40.0,33.0,100.0,,100.0,,1.0,,,,,5.0,3.0,1.0,,3.0,,0.0,,,,,2.0,1.0,1.0,,3.0,,,,40.0,0.0,0.0,,,5.0,1.0,1.0,,,2.0,0.0,0.0,,,,,,,,,,,,,,,
183594814,Orionrising,kazzak,23.0,1050.0,45.0,25.0,50.0,80.0,0.0,40.0,33.0,100.0,100.0,,,11.0,4.0,2.0,5.0,1.0,5.0,3.0,1.0,1.0,,,5.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,,,400.0,0.0,,50.0,100.0,1.0,1.0,,2.0,2.0,4.0,0.0,,1.0,2.0,,,,,,,,,,,,,,,
197358910,Andymonka,kazzak,43.0,18326.0,67.0,55.0,39.0,48.0,42.0,75.0,32.0,40.0,43.0,61.0,33.0,120.0,71.0,51.0,40.0,60.0,55.0,44.0,45.0,51.0,28.0,18.0,80.0,39.0,20.0,19.0,25.0,41.0,14.0,18.0,22.0,17.0,6.0,,50.0,0.0,,100.0,,4.0,2.0,,1.0,,2.0,0.0,,1.0,,,,,,,,,,,,,,,
165072997,Kíea,tarren-mill,15.0,702.0,50.0,,,100.0,,50.0,50.0,,100.0,,,2.0,,,2.0,,2.0,2.0,,2.0,,,1.0,,,2.0,,1.0,1.0,,2.0,,,100.0,100.0,50.0,,,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,0.0,,,,1.0,,,,0.0,,,0.0,1.0,0.0
154699600,Saladyr,blackhand,48.0,900.0,100.0,,,,,44.0,,,,,,4.0,,,,,9.0,,,,,,4.0,,,,,4.0,,,,,,,,0.0,,,,,1.0,,,,,0.0,,,50.0,0.0,,,4.0,2.0,,,2.0,0.0,,,,,
164405939,Daetri,tarren-mill,12.0,880.0,50.0,,,,,,60.0,0.0,50.0,80.0,,2.0,,,,,,5.0,5.0,4.0,5.0,,1.0,,,,,,3.0,0.0,2.0,4.0,,43.0,100.0,33.0,67.0,75.0,7.0,5.0,3.0,3.0,4.0,3.0,5.0,1.0,2.0,3.0,,0.0,,,,1.0,,,,0.0,,,,,
170267257,Neb,shattered-hand,19.0,5048.0,83.0,52.0,45.0,67.0,33.0,60.0,74.0,59.0,57.0,63.0,69.0,6.0,27.0,22.0,12.0,3.0,15.0,23.0,27.0,21.0,19.0,16.0,5.0,14.0,10.0,8.0,1.0,9.0,17.0,16.0,12.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136242937,Estarossà,twisting-nether,41.0,27389.0,57.0,68.0,58.0,67.0,59.0,50.0,57.0,67.0,82.0,64.0,65.0,81.0,47.0,36.0,42.0,22.0,16.0,23.0,33.0,38.0,33.0,26.0,46.0,32.0,21.0,28.0,13.0,8.0,13.0,22.0,31.0,21.0,17.0,,67.0,70.0,67.0,83.0,,18.0,10.0,15.0,6.0,,12.0,7.0,10.0,5.0,,100.0,,,,1.0,,,,1.0,,,,,
69296778,Wtsfood,stormscale,12.0,17680.0,43.0,62.0,52.0,55.0,46.0,64.0,43.0,,88.0,100.0,0.0,134.0,97.0,77.0,85.0,83.0,39.0,7.0,,8.0,2.0,1.0,58.0,60.0,40.0,47.0,38.0,25.0,3.0,,7.0,2.0,0.0,,,,,,,,,,,,,,,,100.0,25.0,,,2.0,4.0,,,2.0,1.0,,,,,
150617010,Tokaga,tarren-mill,229.0,1612.0,80.0,,,100.0,,80.0,,40.0,60.0,67.0,,5.0,,,1.0,,5.0,,5.0,5.0,3.0,,4.0,,,1.0,,4.0,,2.0,3.0,2.0,,,50.0,100.0,,,,2.0,2.0,,,,1.0,2.0,,,20.0,62.0,,,5.0,8.0,,,1.0,5.0,,,100.0,1.0,1.0
