character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Comp Stomp win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Comp Stomp played,Rated Eye of the Storm won,Ashran won,Arathi Basin Comp Stomp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won
150451053,Koyjin,kazzak,104.0,57121.0,55.0,49.0,49.0,61.0,53.0,43.0,78.0,67.0,58.0,69.0,53.0,87.0,449.0,170.0,114.0,109.0,72.0,45.0,9.0,31.0,13.0,15.0,48.0,219.0,83.0,69.0,58.0,31.0,35.0,6.0,18.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198291286,Бариарт,soulflayer,33.0,3107.0,50.0,,,75.0,,33.0,50.0,67.0,70.0,40.0,,2.0,,,4.0,,3.0,4.0,3.0,10.0,5.0,,1.0,,,3.0,,1.0,2.0,2.0,7.0,2.0,,83.0,100.0,50.0,100.0,43.0,6.0,3.0,6.0,1.0,7.0,5.0,3.0,3.0,1.0,3.0,,,,,,,,,,,,,,,
101228281,Reava,alleria,76.0,11264.0,58.0,40.0,80.0,62.0,68.0,70.0,65.0,76.0,52.0,53.0,62.0,31.0,10.0,15.0,26.0,19.0,20.0,34.0,33.0,27.0,32.0,8.0,18.0,4.0,12.0,16.0,13.0,14.0,22.0,25.0,14.0,17.0,5.0,39.0,43.0,20.0,60.0,50.0,18.0,21.0,10.0,5.0,6.0,7.0,9.0,2.0,3.0,3.0,75.0,33.0,100.0,4.0,3.0,2.0,3.0,1.0,2.0,,,,,,
194396987,Crael,hyjal,22.0,412.0,,,,,,,100.0,100.0,50.0,100.0,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,100.0,,50.0,50.0,0.0,1.0,,2.0,2.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,,0.0,0.0,,,,,,,
147280595,Negativedmg,kazzak,179.0,67969.0,82.0,80.0,57.0,62.0,60.0,36.0,91.0,86.0,91.0,75.0,100.0,11.0,10.0,7.0,8.0,10.0,14.0,11.0,7.0,11.0,12.0,4.0,9.0,8.0,4.0,5.0,6.0,5.0,10.0,6.0,10.0,9.0,4.0,133.0,50.0,100.0,46.0,100.0,3.0,2.0,1.0,13.0,3.0,4.0,1.0,1.0,6.0,3.0,,67.0,,,3.0,,,2.0,,,,,,,
165797653,Päm,twisting-nether,43.0,2115.0,0.0,,,33.0,,,0.0,67.0,0.0,0.0,,1.0,,,3.0,,,1.0,3.0,2.0,4.0,,0.0,,,1.0,,,0.0,2.0,0.0,0.0,,0.0,33.0,100.0,50.0,0.0,1.0,3.0,2.0,4.0,2.0,0.0,1.0,2.0,2.0,0.0,,,,,,,,,,17.0,18.0,3.0,,,
130553238,Ephalistos,sargeras,77.0,12353.0,53.0,61.0,42.0,48.0,50.0,25.0,62.0,56.0,46.0,62.0,50.0,19.0,31.0,26.0,21.0,18.0,8.0,40.0,34.0,26.0,37.0,20.0,10.0,19.0,11.0,10.0,9.0,2.0,25.0,19.0,12.0,23.0,10.0,62.0,50.0,33.0,40.0,60.0,13.0,6.0,6.0,5.0,10.0,8.0,3.0,2.0,2.0,6.0,167.0,100.0,,6.0,1.0,,10.0,1.0,,,,,,,
73785417,Schutzinator,eredar,20.0,4518.0,33.0,13.0,44.0,11.0,43.0,56.0,41.0,100.0,29.0,50.0,,21.0,15.0,25.0,18.0,23.0,18.0,17.0,1.0,17.0,2.0,,7.0,2.0,11.0,2.0,10.0,10.0,7.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184277328,Proposition,hyjal,9.0,429.0,0.0,,,,,0.0,0.0,0.0,,50.0,,1.0,,,,,1.0,1.0,1.0,,4.0,,0.0,,,,,0.0,0.0,0.0,,2.0,,0.0,0.0,,33.0,,1.0,2.0,,3.0,,0.0,0.0,,1.0,,,,,,,,,,,,,,,,
114295293,Sitram,hyjal,30.0,826.0,25.0,0.0,100.0,50.0,100.0,100.0,,,,,,4.0,2.0,1.0,2.0,1.0,1.0,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51802856,Meuhmmpasmal,ysondre,19.0,1458.0,0.0,100.0,0.0,0.0,50.0,0.0,67.0,50.0,100.0,33.0,100.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,6.0,3.0,3.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,4.0,0.0,50.0,0.0,0.0,,1.0,2.0,1.0,1.0,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,
155940010,Opils,ysondre,324.0,37171.0,43.0,56.0,56.0,47.0,58.0,52.0,63.0,64.0,55.0,58.0,69.0,58.0,100.0,189.0,101.0,127.0,23.0,35.0,14.0,38.0,26.0,16.0,25.0,56.0,106.0,47.0,74.0,12.0,22.0,9.0,21.0,15.0,11.0,,0.0,0.0,,,,1.0,1.0,,,,0.0,0.0,,,,,,,,,,,,100.0,5.0,5.0,,,
114099878,ßlackßull,hyjal,12.0,1250.0,50.0,67.0,0.0,,,0.0,0.0,0.0,100.0,0.0,,2.0,3.0,1.0,,,1.0,4.0,3.0,1.0,4.0,,1.0,2.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,,,0.0,50.0,,,,1.0,2.0,,,,0.0,1.0,,,,,,,,,,,,,,,,
110447787,Ayyah,stormscale,4.0,466.0,,0.0,,,,,100.0,100.0,,,,,1.0,,,,,1.0,1.0,,,,,0.0,,,,,1.0,1.0,,,,,50.0,100.0,,,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
150562402,Knowmexx,blackmoore,32.0,887.0,50.0,,,,,100.0,100.0,,100.0,100.0,,2.0,,,,,3.0,1.0,,2.0,1.0,,1.0,,,,,3.0,1.0,,2.0,1.0,,67.0,100.0,50.0,100.0,67.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,100.0,,,2.0,,,2.0,,,,,,,,
188423956,Ilnakadyr,hyjal,48.0,8476.0,14.0,50.0,36.0,67.0,33.0,55.0,56.0,38.0,62.0,54.0,29.0,7.0,6.0,11.0,3.0,9.0,11.0,32.0,13.0,16.0,26.0,7.0,1.0,3.0,4.0,2.0,3.0,6.0,18.0,5.0,10.0,14.0,2.0,70.0,40.0,0.0,40.0,0.0,10.0,5.0,1.0,5.0,3.0,7.0,2.0,0.0,2.0,0.0,,,,,,,,,,,,,,,
197358910,Andymonka,kazzak,43.0,18326.0,67.0,55.0,39.0,48.0,42.0,75.0,32.0,40.0,43.0,61.0,33.0,120.0,71.0,51.0,40.0,60.0,55.0,44.0,45.0,51.0,28.0,18.0,80.0,39.0,20.0,19.0,25.0,41.0,14.0,18.0,22.0,17.0,6.0,50.0,0.0,,,100.0,4.0,2.0,,,1.0,2.0,0.0,,,1.0,,,,,,,,,,,,,,,
165554309,Тллаллок,howling-fjord,44.0,267.0,,,,100.0,,,0.0,,0.0,100.0,,,,,3.0,,,1.0,,1.0,1.0,,,,,3.0,,,0.0,,0.0,1.0,,,50.0,,,0.0,,2.0,,,1.0,,1.0,,,0.0,,,,,,,,,,,,,,,
164479772,Райтволл,howling-fjord,7.0,694.0,,,,,,,,,,100.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,1.0,,,
89907460,Nimsy,blackhand,45.0,22814.0,33.0,52.0,61.0,47.0,53.0,29.0,45.0,45.0,53.0,57.0,38.0,12.0,107.0,66.0,62.0,15.0,7.0,77.0,100.0,100.0,127.0,26.0,4.0,56.0,40.0,29.0,8.0,2.0,35.0,45.0,53.0,72.0,10.0,71.0,64.0,65.0,100.0,50.0,34.0,25.0,26.0,1.0,26.0,24.0,16.0,17.0,1.0,13.0,500.0,,100.0,1.0,,5.0,5.0,,5.0,,,,40.0,5.0,2.0
124180279,Bopcorn,draenor,47.0,1746.0,100.0,,,75.0,,67.0,100.0,0.0,100.0,100.0,,1.0,,,8.0,,3.0,2.0,1.0,4.0,3.0,,1.0,,,6.0,,2.0,2.0,0.0,4.0,3.0,,67.0,33.0,100.0,,100.0,3.0,3.0,1.0,,2.0,2.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,
105455006,Anomindara,bladefist,8.0,8103.0,58.0,46.0,64.0,62.0,50.0,50.0,100.0,100.0,80.0,0.0,100.0,19.0,24.0,22.0,8.0,2.0,10.0,2.0,4.0,5.0,2.0,2.0,11.0,11.0,14.0,5.0,1.0,5.0,2.0,4.0,4.0,0.0,2.0,67.0,100.0,100.0,67.0,,3.0,3.0,1.0,9.0,,2.0,3.0,1.0,6.0,,,75.0,,,4.0,,,3.0,,,,,,,
174023878,Adûriel,sanguino,73.0,14164.0,60.0,58.0,50.0,47.0,67.0,60.0,58.0,59.0,58.0,55.0,56.0,10.0,12.0,12.0,17.0,3.0,10.0,12.0,17.0,19.0,29.0,18.0,6.0,7.0,6.0,8.0,2.0,6.0,7.0,10.0,11.0,16.0,10.0,123.0,55.0,75.0,100.0,57.0,13.0,11.0,8.0,1.0,7.0,16.0,6.0,6.0,1.0,4.0,0.0,100.0,100.0,2.0,5.0,5.0,0.0,5.0,5.0,,,,75.0,4.0,3.0
172378614,Ðarkz,twisting-nether,197.0,770.0,67.0,,,,,0.0,0.0,,,,,3.0,,,,,4.0,1.0,,,,,2.0,,,,,0.0,0.0,,,,,,,,0.0,100.0,,,,2.0,1.0,,,,0.0,1.0,,60.0,,,5.0,,,3.0,,,,,,,
185742940,Аисандра,soulflayer,38.0,1362.0,0.0,,,0.0,,100.0,100.0,100.0,40.0,0.0,100.0,1.0,,,1.0,,2.0,2.0,3.0,5.0,1.0,1.0,0.0,,,0.0,,2.0,2.0,3.0,2.0,0.0,1.0,33.0,,100.0,0.0,,3.0,,1.0,1.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,100.0,1.0,1.0
118699248,Zaryn,uldaman,5.0,1018.0,,50.0,33.0,,,,100.0,100.0,,50.0,100.0,,2.0,3.0,,,,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,50.0,,,,100.0,2.0,,,,1.0,1.0,,,,1.0,0.0,,,1.0,,,0.0,,,,,,,,
108029148,Spirine,ysondre,16.0,2617.0,0.0,100.0,50.0,50.0,,50.0,100.0,50.0,50.0,69.0,60.0,2.0,3.0,2.0,4.0,,4.0,3.0,6.0,4.0,13.0,5.0,0.0,3.0,1.0,2.0,,2.0,3.0,3.0,2.0,9.0,3.0,71.0,100.0,100.0,0.0,100.0,14.0,1.0,1.0,1.0,2.0,10.0,1.0,1.0,0.0,2.0,0.0,,,1.0,,,0.0,,,,,,,,
