character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Battle for Wintergrasp won,Silvershard Mines win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Silvershard Mines played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Silvershard Mines won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Korrak's Revenge played,Rated Eye of the Storm won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won
69296778,Wtsfood,stormscale,12.0,17680.0,43.0,62.0,52.0,55.0,46.0,64.0,43.0,88.0,100.0,0.0,100.0,25.0,134.0,97.0,77.0,85.0,83.0,39.0,7.0,8.0,2.0,1.0,2.0,4.0,58.0,60.0,40.0,47.0,38.0,25.0,3.0,7.0,2.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
136021324,Sekentor,blackrock,106.0,66865.0,56.0,64.0,65.0,62.0,50.0,57.0,60.0,63.0,43.0,48.0,100.0,60.0,86.0,261.0,208.0,99.0,108.0,68.0,43.0,46.0,42.0,27.0,2.0,5.0,48.0,167.0,135.0,61.0,54.0,39.0,26.0,29.0,18.0,13.0,2.0,3.0,53.0,100.0,100.0,25.0,100.0,0.0,30.0,3.0,5.0,4.0,3.0,1.0,16.0,3.0,5.0,1.0,3.0,0.0,,,,,,,,,
108809209,Trynias,eredar,28.0,3040.0,100.0,100.0,50.0,33.0,,57.0,100.0,60.0,100.0,86.0,,33.0,2.0,4.0,2.0,3.0,,7.0,1.0,5.0,5.0,7.0,,3.0,2.0,4.0,1.0,1.0,,4.0,1.0,3.0,5.0,6.0,,1.0,67.0,45.0,0.0,25.0,100.0,0.0,3.0,11.0,1.0,4.0,1.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,,,,,,,,,
67064997,Bubbleriosus,thrall,12.0,768.0,,100.0,0.0,100.0,100.0,0.0,100.0,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,0.0,100.0,,,,,1.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,
110447787,Ayyah,stormscale,4.0,466.0,,0.0,,,,,100.0,,,,,,,1.0,,,,,1.0,,,,,,,0.0,,,,,1.0,,,,,,100.0,,50.0,100.0,,,1.0,,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,
119766949,Admitancja,burning-legion,47.0,6144.0,0.0,50.0,46.0,71.0,60.0,0.0,60.0,73.0,50.0,90.0,0.0,100.0,1.0,8.0,13.0,7.0,10.0,1.0,5.0,15.0,18.0,10.0,1.0,1.0,0.0,4.0,6.0,5.0,6.0,0.0,3.0,11.0,9.0,9.0,0.0,1.0,50.0,0.0,0.0,100.0,,0.0,16.0,2.0,1.0,1.0,,1.0,8.0,0.0,0.0,1.0,,0.0,,,,,,,,,
164846369,Klexe,blackrock,12.0,4952.0,75.0,,,60.0,,33.0,50.0,67.0,73.0,,57.0,50.0,8.0,,,5.0,,3.0,8.0,3.0,11.0,,14.0,6.0,6.0,,,3.0,,1.0,4.0,2.0,8.0,,8.0,3.0,50.0,60.0,44.0,50.0,,31.0,6.0,5.0,9.0,8.0,,13.0,3.0,3.0,4.0,4.0,,4.0,0.0,83.0,1.0,6.0,0.0,5.0,,,
73785417,Schutzinator,eredar,20.0,4518.0,33.0,13.0,44.0,11.0,43.0,56.0,41.0,29.0,50.0,,,,21.0,15.0,25.0,18.0,23.0,18.0,17.0,17.0,2.0,,,,7.0,2.0,11.0,2.0,10.0,10.0,7.0,5.0,1.0,,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
115841375,Philea,frostwolf,24.0,3064.0,54.0,0.0,75.0,60.0,,67.0,73.0,50.0,36.0,,100.0,,13.0,3.0,4.0,5.0,,3.0,11.0,6.0,11.0,,1.0,,7.0,0.0,3.0,3.0,,2.0,8.0,3.0,4.0,,1.0,,83.0,100.0,50.0,100.0,,100.0,6.0,1.0,4.0,2.0,,2.0,5.0,1.0,2.0,2.0,,2.0,,,,,,,,,
115377790,Govanno,blackhand,57.0,136043.0,53.0,66.0,62.0,64.0,63.0,60.0,65.0,79.0,71.0,100.0,100.0,67.0,300.0,278.0,416.0,236.0,235.0,258.0,43.0,29.0,24.0,9.0,2.0,12.0,159.0,183.0,256.0,151.0,147.0,154.0,28.0,23.0,17.0,9.0,2.0,8.0,85.0,54.0,79.0,62.0,100.0,100.0,13.0,13.0,14.0,13.0,15.0,2.0,11.0,7.0,11.0,8.0,15.0,2.0,,80.0,,5.0,,4.0,100.0,1.0,1.0
160597285,Póhma,draenor,18.0,533.0,,,,,,0.0,100.0,50.0,67.0,,,,,,,,,1.0,1.0,2.0,3.0,,,,,,,,,0.0,1.0,1.0,2.0,,,,100.0,,100.0,,,,2.0,,1.0,,,,2.0,,1.0,,,,,,,,,,,,
123873111,Zôeý,frostwolf,31.0,15883.0,41.0,55.0,56.0,59.0,59.0,63.0,74.0,57.0,52.0,50.0,100.0,50.0,22.0,29.0,34.0,29.0,39.0,19.0,39.0,40.0,23.0,4.0,1.0,2.0,9.0,16.0,19.0,17.0,23.0,12.0,29.0,23.0,12.0,2.0,1.0,1.0,80.0,50.0,50.0,83.0,,67.0,20.0,14.0,4.0,6.0,,9.0,16.0,7.0,2.0,5.0,,6.0,86.0,,7.0,,6.0,,,,
147758522,Lesterow,thrall,22.0,979.0,,,,100.0,,50.0,0.0,,50.0,,0.0,0.0,,,,4.0,,2.0,2.0,,2.0,,1.0,1.0,,,,4.0,,1.0,0.0,,1.0,,0.0,0.0,100.0,100.0,100.0,0.0,,,1.0,2.0,4.0,1.0,,,1.0,2.0,4.0,0.0,,,,,,,,,,,
137177891,Heartfilia,norgannon,22.0,3935.0,83.0,,,40.0,,100.0,20.0,67.0,71.0,,100.0,50.0,12.0,,,5.0,,6.0,5.0,6.0,7.0,,6.0,4.0,10.0,,,2.0,,6.0,1.0,4.0,5.0,,6.0,2.0,43.0,71.0,60.0,100.0,,71.0,7.0,7.0,5.0,1.0,,7.0,3.0,5.0,3.0,1.0,,5.0,0.0,,1.0,,0.0,,,,
156171837,Chizuri,thrall,18.0,5129.0,47.0,44.0,55.0,42.0,47.0,69.0,54.0,80.0,50.0,,,,17.0,18.0,20.0,19.0,19.0,16.0,13.0,5.0,2.0,,,,8.0,8.0,11.0,8.0,9.0,11.0,7.0,4.0,1.0,,,,33.0,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,
120545949,Recksiipala,blackrock,8.0,309.0,,,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65143466,Amris,blackmoore,7.0,187.0,,100.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,,100.0,,1.0,,1.0,,,
160212062,Schnipporet,tarren-mill,14.0,240.0,,,,100.0,,,,,50.0,,,,,,,1.0,,,,,2.0,,,,,,,1.0,,,,,1.0,,,,100.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,,,,,,,,,,
191894188,Panzarjohnny,kazzak,44.0,787.0,0.0,,,,,40.0,33.0,,100.0,,,,1.0,,,,,5.0,3.0,,3.0,,,,0.0,,,,,2.0,1.0,,3.0,,,,100.0,,40.0,0.0,,0.0,1.0,,5.0,1.0,,1.0,1.0,,2.0,0.0,,0.0,,,,,,,,,
